GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - For rent,Margin of Error; Total: - For rent,"Estimate; Total: - Rented, not occupied","Margin of Error; Total: - Rented, not occupied",Estimate; Total: - For sale only,Margin of Error; Total: - For sale only,"Estimate; Total: - Sold, not occupied","Margin of Error; Total: - Sold, not occupied","Estimate; Total: - For seasonal, recreational, or occasional use","Margin of Error; Total: - For seasonal, recreational, or occasional use",Estimate; Total: - For migrant workers,Margin of Error; Total: - For migrant workers,Estimate; Total: - Other vacant,Margin of Error; Total: - Other vacant
1400000US47037012701,47037012701,"Census Tract 127.01, Davidson County, Tennessee",167,107,71,83,0,17,33,56,29,48,0,17,0,17,34,55
1400000US47037012702,47037012702,"Census Tract 127.02, Davidson County, Tennessee",151,85,29,43,0,12,0,12,0,12,0,12,0,12,122,65
1400000US47037012801,47037012801,"Census Tract 128.01, Davidson County, Tennessee",305,121,77,91,0,17,20,34,21,35,14,23,0,17,173,90
1400000US47037012802,47037012802,"Census Tract 128.02, Davidson County, Tennessee",168,83,0,12,16,25,97,63,0,12,0,12,0,12,55,58
1400000US47037013000,47037013000,"Census Tract 130, Davidson County, Tennessee",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1400000US47037013100,47037013100,"Census Tract 131, Davidson County, Tennessee",104,47,6,12,0,12,49,37,2,5,9,13,0,12,38,30
1400000US47037013201,47037013201,"Census Tract 132.01, Davidson County, Tennessee",126,78,0,12,0,12,0,12,0,12,0,12,0,12,126,78
1400000US47037013202,47037013202,"Census Tract 132.02, Davidson County, Tennessee",150,114,32,46,38,61,0,12,0,12,0,12,0,12,80,90
1400000US47037013300,47037013300,"Census Tract 133, Davidson County, Tennessee",224,102,67,50,24,39,21,33,0,12,0,12,0,12,112,74
1400000US47037013400,47037013400,"Census Tract 134, Davidson County, Tennessee",177,127,43,52,0,12,0,12,0,12,44,66,0,12,90,90
1400000US47037013500,47037013500,"Census Tract 135, Davidson County, Tennessee",187,59,30,32,24,27,37,30,0,12,11,17,0,12,85,49
1400000US47037013601,47037013601,"Census Tract 136.01, Davidson County, Tennessee",206,76,92,65,0,12,16,25,15,24,0,12,0,12,83,64
1400000US47037013602,47037013602,"Census Tract 136.02, Davidson County, Tennessee",62,48,28,31,0,12,0,12,0,12,0,12,0,12,34,41
1400000US47037013700,47037013700,"Census Tract 137, Davidson County, Tennessee",164,115,34,53,19,38,37,61,0,17,0,17,0,17,74,78
1400000US47037013800,47037013800,"Census Tract 138, Davidson County, Tennessee",95,51,0,12,14,23,0,12,9,13,0,12,0,12,72,51
1400000US47037013900,47037013900,"Census Tract 139, Davidson County, Tennessee",116,59,31,34,12,20,0,12,11,17,0,12,0,12,62,44
1400000US47037014200,47037014200,"Census Tract 142, Davidson County, Tennessee",186,87,66,50,0,12,14,22,0,12,0,12,0,12,106,69
1400000US47037014300,47037014300,"Census Tract 143, Davidson County, Tennessee",239,66,61,42,9,14,18,21,9,15,0,12,0,12,142,58
1400000US47037014400,47037014400,"Census Tract 144, Davidson County, Tennessee",106,52,35,38,17,19,0,12,0,12,0,12,0,12,54,38
1400000US47037014800,47037014800,"Census Tract 148, Davidson County, Tennessee",200,101,110,79,33,40,0,12,0,12,34,42,0,12,23,35
1400000US47037015100,47037015100,"Census Tract 151, Davidson County, Tennessee",106,74,0,12,24,38,14,22,0,12,0,12,0,12,68,53
1400000US47037015200,47037015200,"Census Tract 152, Davidson County, Tennessee",70,67,14,23,0,12,15,26,0,12,41,61,0,12,0,12
1400000US47037015300,47037015300,"Census Tract 153, Davidson County, Tennessee",153,116,0,17,0,17,0,17,48,78,0,17,0,17,105,96
1400000US47037015401,47037015401,"Census Tract 154.01, Davidson County, Tennessee",203,142,51,81,0,17,40,63,0,17,31,47,0,17,81,89
1400000US47037015402,47037015402,"Census Tract 154.02, Davidson County, Tennessee",93,70,23,38,0,12,57,62,0,12,0,12,0,12,13,20
1400000US47037015404,47037015404,"Census Tract 154.04, Davidson County, Tennessee",232,87,165,90,0,12,0,12,0,12,0,12,0,12,67,60
1400000US47037015405,47037015405,"Census Tract 154.05, Davidson County, Tennessee",178,89,38,39,0,12,40,48,36,41,0,12,0,12,64,62
1400000US47037015501,47037015501,"Census Tract 155.01, Davidson County, Tennessee",160,85,0,12,74,64,0,12,56,61,0,12,0,12,30,33
1400000US47037015502,47037015502,"Census Tract 155.02, Davidson County, Tennessee",124,80,66,60,0,12,13,15,22,37,23,36,0,12,0,12
1400000US47037015609,47037015609,"Census Tract 156.09, Davidson County, Tennessee",203,86,104,68,51,49,0,12,0,12,41,44,0,12,7,11
1400000US47037015610,47037015610,"Census Tract 156.10, Davidson County, Tennessee",333,161,120,80,169,135,17,26,0,17,0,17,0,17,27,46
1400000US47037015612,47037015612,"Census Tract 156.12, Davidson County, Tennessee",431,192,186,133,155,130,0,17,0,17,40,61,0,17,50,77
1400000US47037015613,47037015613,"Census Tract 156.13, Davidson County, Tennessee",123,82,44,51,0,17,25,33,0,17,0,17,0,17,54,60
1400000US47037015614,47037015614,"Census Tract 156.14, Davidson County, Tennessee",138,88,0,12,0,12,22,33,0,12,6,10,22,34,88,67
1400000US47037015615,47037015615,"Census Tract 156.15, Davidson County, Tennessee",60,62,0,12,0,12,0,12,0,12,0,12,0,12,60,62
1400000US47037015617,47037015617,"Census Tract 156.17, Davidson County, Tennessee",75,55,0,12,0,12,27,41,33,45,0,12,0,12,15,17
1400000US47037015618,47037015618,"Census Tract 156.18, Davidson County, Tennessee",246,133,0,17,29,41,37,58,41,66,35,55,0,17,104,95
1400000US47037015619,47037015619,"Census Tract 156.19, Davidson County, Tennessee",97,72,0,12,0,12,20,33,0,12,0,12,0,12,77,61
1400000US47037015620,47037015620,"Census Tract 156.20, Davidson County, Tennessee",263,137,0,17,8,13,37,58,0,17,104,81,0,17,114,107
1400000US47037015622,47037015622,"Census Tract 156.22, Davidson County, Tennessee",69,67,45,68,0,12,24,27,0,12,0,12,0,12,0,12
1400000US47037015623,47037015623,"Census Tract 156.23, Davidson County, Tennessee",140,106,76,84,64,74,0,17,0,17,0,17,0,17,0,17
1400000US47037015624,47037015624,"Census Tract 156.24, Davidson County, Tennessee",249,166,51,82,0,17,0,17,0,17,94,120,0,17,104,115
1400000US47037015625,47037015625,"Census Tract 156.25, Davidson County, Tennessee",168,122,0,17,24,39,92,102,0,17,39,61,0,17,13,21
1400000US47037015626,47037015626,"Census Tract 156.26, Davidson County, Tennessee",173,109,90,86,0,17,48,59,26,41,0,17,0,17,9,16
1400000US47037015627,47037015627,"Census Tract 156.27, Davidson County, Tennessee",33,29,0,12,0,12,23,22,0,12,0,12,0,12,10,17
1400000US47037015628,47037015628,"Census Tract 156.28, Davidson County, Tennessee",91,95,58,88,17,27,0,12,0,12,0,12,0,12,16,27
1400000US47037015629,47037015629,"Census Tract 156.29, Davidson County, Tennessee",193,172,144,146,0,17,0,17,0,17,0,17,0,17,49,82
1400000US47037015630,47037015630,"Census Tract 156.30, Davidson County, Tennessee",77,66,14,23,0,12,32,54,31,50,0,12,0,12,0,12
1400000US47037015631,47037015631,"Census Tract 156.31, Davidson County, Tennessee",244,156,0,17,0,17,89,100,0,17,0,17,0,17,155,127
1400000US47037015700,47037015700,"Census Tract 157, Davidson County, Tennessee",30,34,13,20,0,12,0,12,0,12,17,26,0,12,0,12
1400000US47037015802,47037015802,"Census Tract 158.02, Davidson County, Tennessee",275,129,185,101,61,72,0,17,29,47,0,17,0,17,0,17
1400000US47037015803,47037015803,"Census Tract 158.03, Davidson County, Tennessee",240,90,181,84,0,12,0,12,0,12,5,7,0,12,54,41
